Feature,Coefficient
everything,-0.6019131936277496
evn,-0.02103495213019789
evng,-0.15705271646844127
ex,-0.18431838817547652
exact,-0.04340287482063948
exactly,-0.06863867132223656
exam,-0.18444387282507108
excellent,-0.2667173581922676
except,-0.1286911953069234
exciting,0.5627117377306391
excuse,-0.12058290765930045
exe,-0.010497977667292723
executive,-0.3046185353727531
exhausted,-0.03223422246346468
expect,-0.08366734627112063
expecting,-0.09458656210112362
expensive,-0.4174526325213626
experience,-0.0650815976412371
expires,0.582773222432208
explain,-0.0642077155697999
explicit,0.5409844704204934
explosive,0.28971703141515825
express,-0.022598035845986564
expression,-0.16276382235793377
extra,0.13550766941087047
ey,-0.04511106617404521
eye,-0.05866859546086449
fa,0.07368954384196098
fab,-0.01705508583988591
face,-0.26646727578215135
facebook,-0.18290519976873895
fact,-0.2092328944245622
faggy,-0.08736120596497085
failed,-0.01838272898453237
fails,-0.010464843181117948
fair,-0.03601999965231273
fall,-0.03596879984659973
falling,0.0
family,-0.4143165425401452
fan,0.03382699878469719
fancy,1.0782722934236575
fantastic,0.3686135815105574
fantasy,0.717417718639925
far,-0.27923871293602226
farm,-0.017450130172299985
fast,-0.01584667717231185
faster,0.2557176623982701
fastest,0.03634424756968201
fat,-0.2087345499113404
father,-0.10313175314973559
fathima,-0.14039091589001085
fault,-0.03747359495775998
fave,-0.04422140155655088
favor,-0.017350257495729136
favorite,-0.01682153255562194
favour,-0.08307503994596845
favourite,-0.03608937556026694
fb,-0.10756959209587941
fear,-0.047937330338747586
feb,0.10997854680427027
february,-0.07323000366708504
fee,-0.04312006853135407
feel,-0.6965751031899775
feelin,-0.03177345373046987
feeling,-0.11729424230920833
fell,-0.032411110172927
felt,-0.23104501946188463
female,0.05085271316334375
fetch,-0.02194564986730923
fever,-0.060004821196115346
field,-0.10257515228330735
fifteen,-0.06439307983257136
fight,-0.48590064128525545
fighting,-0.08169938696080467
fightng,-0.02410227685296258
figure,-0.15643423765540046
fil,0.0
file,-0.13984222814660793
fill,-0.09879674750823894
filled,-0.01141654942539827
filling,-0.031026143346985714
film,0.23783744299955367
filthy,0.5297672555725301
final,0.508950837035232
finally,-0.18013305757315368
finance,-0.05341532435092804
find,1.0248081935765179
fine,-0.4008900320426615
fineabsolutly,-0.024058990960315635
finewhen,-0.04042959955565838
finger,-0.07812394110824604
finish,-0.33699579530748097
finished,-0.20774629370183006
finishing,-0.010831402036412752
fire,-0.0065747033461321025
first,-0.32564909814022297
fish,-0.04014602298666959
fit,0.053463828957459616
five,-0.0728764260263678
fix,-0.059627942743539164
fixed,0.09041130881946503
fixedline,0.08061125885185969
flag,0.25645160672159883
flaked,-0.08270145867037688
flaky,-0.0889862292158091
flame,0.0
flash,-0.05032958559728283
flat,-0.17957292978439365
flight,0.3299176624711198
flip,-0.012725240084442641
flirt,0.10456387468740194
flirting,0.1842564456704567
floor,-0.12345548909205928
flower,0.07505847800955007
flowing,0.0
fly,-0.039483694676649604
fml,0.17798865190705146
fo,-0.08468643316140856
foley,0.21003125338194883
follow,0.1352545344002534
followed,0.5602824100789815
following,0.32237379518377596
fone,0.23249999912989955
food,-0.2752640055771538
fool,-0.1930555979266307
foot,-0.038007662084392345
football,0.2399065687595454
footprint,-0.14138206616623605
force,-0.01677217210549299
foreign,-0.04759524004509303
forever,-0.27466127490985803
forevr,-0.02197657889676497
forget,0.36365451110709396
forgets,-0.061950635035078555
forgiven,-0.013809960774940393
forgot,-0.21201627322803063
forgotten,-0.04223068407723461
format,0.1698081531983316
formclark,-0.029839629519822247
forum,-0.06892348187414978
forward,-0.33392753767911065
forwarded,-0.0373276849219214
found,0.06018129411339354
four,0.009694350404950617
fr,-0.0520582901254318
fran,-0.016343698526874412
fraud,-0.06569341534201305
freak,-0.04322449022711466
free,3.0454075329484884
freeday,0.2244981017255916
freedom,-0.02726003147690713
freefone,0.20943284600493808
freemsg,0.5585489761926669
freephone,1.0506341627683073
freesend,0.08203815471932983
freezing,-0.020926110719966574
fren,-0.017539310879822342
frens,-0.025827451621678373
fret,-0.03996182551299901
fri,0.23264689641318634
friday,-0.2611783325019423
friend,-0.6525760748483628
friendship,-0.35773453694608903
fringe,-0.012163739692828392
frm,-0.17776919061322474
frnd,0.11888622292885426
frnds,-0.26136343919995647
frndship,-0.07098512869027836
fromm,0.3542527198031908
front,-0.026548677078427233
frying,-0.022020006735837552
fuck,-0.2631356681512575
fucked,-0.04940880501377402
fuckin,-0.05199552739946257
fucking,-0.2540725284131258
fujitsu,-0.022281908338026082
ful,-0.17050968209880238
full,-0.35612370472385674
fullonsmscom,-0.4239170957068211
fun,0.2720163441320885
function,-0.07694699843346457
funeral,-0.032517916450585924
funk,0.06883689578126284
funky,0.06373807690130545
funny,-0.16563508614485825
furniture,-0.014100973704986386
future,0.2512455776660807
fyi,-0.06341476170792346
gain,0.0
gal,-0.1926545256957144
galileo,-0.023998691629855597
game,1.0770065651813507
gamestar,0.3182118469180099
ganesh,-0.11076678705389144
gang,-0.03353216171037198
gap,-0.0930573350058694
garage,-0.05175400833374705
garbage,-0.0912701372912855
garden,0.12837362630189864
gardener,-0.13562801268834626
gary,-0.023493934156207173
gas,-0.17510100193685424
gastroenteritis,-0.21542735447927458
gautham,-0.05145582770511901
gave,-0.09910072261395138
gay,0.2905033429401036
gaytextbuddycom,0.10656566822602676
gb,0.2709932344380602
gbp,0.2613247734872513
gbpmtmsg,0.11064285477068078
gbpweek,0.20296935132225497
gd,-0.09832856472506882
ge,-0.04321333630926301
gee,-0.023383322182883883
geeee,-0.014555550508995298
geeeee,-0.014573587049016156
gender,0.5135637346690577
generally,-0.09201379300979985
genius,-0.04090009423798388
gent,0.04702802856840983
gentle,-0.073572115944324
gentleman,-0.04218650193562006
gently,-0.1001177246512655
genuine,0.20640764998701663
george,0.2244981017255916
germany,0.2532286806751444
get,-0.14458555132903433
getstop,0.06453035109906233
gettin,0.017258255074193776
getting,-0.49826786595535283
geva,-0.021738729038884776
gf,-0.02869480131839618
gga,0.388831006739426
ghost,0.0
gibbs,-0.07805540754522293
gift,0.7413316875109652
gifted,-0.24614950302687075
gimme,-0.04974002188427932
gin,-0.05870752416934422
girl,0.5643316451401348
girld,-0.06126603256551416
girlfrnd,-0.00042678783853370003
gist,-0.032862784189857254
giv,0.2356722762093571
give,-0.5621954749482819
given,-0.11266881314923628
giving,-0.04150456011322649
glad,0.2371924108650602
gmgngegn,-0.07211069778478287
gmgngegnt,-0.10645026811618273
gn,-0.025295652978392636
go,-0.13512225995418167
goal,0.4651968355203399
god,-0.5219657489024894
godi,-0.049956345849328516
goin,-0.13508917755726974
going,-0.8643989544174179
gold,0.0018474494225482613
gona,-0.06419162399863787
gone,-0.18565012545608556
gonna,-0.4340958208000056
good,-0.9924694963025781
goodenvironment,-0.06941675415151947
goodfriend,-0.02274400112487128
goodmorning,-0.4137648853799289
goodnight,-0.09591282899489331
goodnite,-0.0416460247848544
